epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2101.79,2.42822,0.97567,1.02916,0.78955,0.6443,0.71081,0.42425,2.49724,0.98308,1.09003,0.000282792,0.000282792,0.000282792
43,2151.27,2.44014,0.96619,1.03472,0.71565,0.65024,0.70949,0.41708,2.51472,0.98792,1.09835,0.000278079,0.000278079,0.000278079
44,2201.19,2.41003,0.94892,1.03139,0.73321,0.62873,0.68908,0.39329,2.57887,0.99543,1.11041,0.000273367,0.000273367,0.000273367
45,2251.58,2.42012,0.95648,1.03067,0.73785,0.63241,0.71608,0.41535,2.51295,0.97569,1.09336,0.000268654,0.000268654,0.000268654
46,2301.75,2.39172,0.94283,1.02235,0.78858,0.64326,0.74609,0.4349,2.5125,0.96107,1.09113,0.000263942,0.000263942,0.000263942
47,2352.34,2.38306,0.93888,1.02136,0.77284,0.67664,0.7404,0.43644,2.49882,0.94629,1.09568,0.00025923,0.00025923,0.00025923
48,2402.49,2.36703,0.92963,1.02012,0.72418,0.67145,0.72583,0.42171,2.52612,0.98345,1.09772,0.000254517,0.000254517,0.000254517
49,2452.01,2.34143,0.9296,1.02257,0.76941,0.67298,0.74413,0.43736,2.48359,0.94589,1.08438,0.000249805,0.000249805,0.000249805
50,2502.01,2.34534,0.90669,1.01389,0.77322,0.65846,0.7261,0.42532,2.50571,0.97052,1.08842,0.000245092,0.000245092,0.000245092
51,2552.54,2.35387,0.92235,1.01829,0.76431,0.66127,0.72235,0.41782,2.51681,0.97163,1.09444,0.00024038,0.00024038,0.00024038
52,2602.13,2.33094,0.89846,1.01528,0.76592,0.68146,0.7379,0.43689,2.49728,0.9368,1.08797,0.000235668,0.000235668,0.000235668
53,2652.5,2.31242,0.8881,1.00623,0.72881,0.64862,0.72377,0.4214,2.53884,0.96526,1.09431,0.000230955,0.000230955,0.000230955
54,2702.96,2.30911,0.89375,1.01157,0.7663,0.67652,0.7455,0.42647,2.56305,0.94426,1.09113,0.000226243,0.000226243,0.000226243
55,2752.77,2.26609,0.85715,1.00549,0.7821,0.67643,0.75802,0.45083,2.50141,0.94562,1.08552,0.00022153,0.00022153,0.00022153
56,2803.31,2.26041,0.86397,0.99688,0.79305,0.68213,0.76565,0.45219,2.4794,0.92856,1.08875,0.000216818,0.000216818,0.000216818
57,2853.44,2.28764,0.87143,1.00283,0.74486,0.69914,0.76801,0.45413,2.49725,0.93575,1.08687,0.000212106,0.000212106,0.000212106
58,2903.25,2.28454,0.86505,1.00501,0.75576,0.7304,0.7607,0.45835,2.46706,0.92637,1.08383,0.000207393,0.000207393,0.000207393
59,2953.55,2.29216,0.86279,1.0055,0.73523,0.71093,0.75883,0.44981,2.48096,0.92318,1.08905,0.000202681,0.000202681,0.000202681
60,3003.94,2.24819,0.84737,0.99061,0.76661,0.72456,0.77394,0.46443,2.47387,0.91907,1.07947,0.000197968,0.000197968,0.000197968
